id,title,sentence_bert_cossim
1,innovative and driven professional seeking a role in data analyticsdata science in the information technology industry.,1.0000001
431,aspiring data science professional focused on data analysis machine learning and data visualization actively seeking opportunities,0.7691624
544,data analyst data scientist business analyst driving data-driven insights strategic solutions,0.76822215
833,data analyst turning complex data into actionable insights passionate about solving business challenges with data-driven solutions,0.74524474
199,ms in information systems northeastern university data scientist business intelligence data engineering data analyst transforming data into insights,0.72726756
28,aspiring data scientist passion for data-driven decision making master of science in business analytics graduate  university of new hampshire,0.7205451
1282,data scientist and analyst driving business insights with advanced data techniques research expertise,0.71743226
426,master of science in analytics at georgia institute of technology aspiring data scientist,0.7170934
963,passionate data scientist seeking exciting opportunities to make an impact.,0.7117446
487,research assistant penn state seeking opportunities in the data field data analyst with experience at sritech software expertise in machine learning data evaluation passionate about transforming data into insights,0.7089592
514,data analyst data science business development turning complex data into actionable insights skilled in sql python and data visualization.,0.70731515
501,data scientist business intelligence bi leader harnessing the power of data science to strenghten organizational impact,0.7060913
134,data analyst turning data into actionable insights skilled in sql python tableau power bi excel etl and data visualization passionate about driving data-driven decisions actively seeking job opportunities,0.70533335
542,aspiring data scientist data analyst excel sql python power bi matlab turning data into actionable insights to drive business growth and optimize decision-making.,0.702194
665,data analytics engineer,0.69047284
282,analytical mind passionate about turning data into insights masters of data analytics,0.68736213
1041,senior solutions architect data scientist mlsoftware engineer data miningwrangling data analysismodelingvisualization python sql data analytics power bi expert in rpa,0.6821792
20,senior technology analyst dynamo software master of science in business analytics,0.6815412
351,actively seeking data analystsweproduct manager data scientist sql python tableau power bi data engineer machine learning engineer transforming data into insights enhancing security asu it grad,0.6807393
1042,data scientist analyst machine learning python sql specializing in predictive prescriptive analytics and classification initiatives while helping organizations choose the best strategies backed by data,0.68013924
112,data analyst m.s. in data analytics sql python r tableau power bi first-gen college grad driving data-backed decisions,0.67693967
179,master of science in business analytics ex-clariant research analyst new business development data analyst business intelligence,0.6760607
1059,data scientist machine learning expert healthcare analytics innovator driving business impact with advanced analytics and data-driven solutions,0.67579734
1054,data scientist with experience in data extraction modeling and visualization. proven expertise in machine learning predictive modeling and transforming data into actionable insights.,0.67563725
45,strategic data analyst 9 years in advanced analytics machine learning power bi python sql aws azure expert transforming data into business insights,0.67457664
327,data scientist turning data into actionable insights with predictive modeling and visualization. skilled in python sql and algorithms. proven success in churn prediction sentiment analysis and demand forecasting.,0.6730537
298,data scientist unlocking insights machine learning enthusiast former data science intern developershub corporation,0.6713389
51,information systems management carnegie mellon university data scientist resolving business problems and decision-making process with data-drive approach,0.6691327
1173,data analyst data scientist,0.6671442
1262,data analyst data scientist,0.6671442
271,data scientist machine learning data analytics expert innovator in predictive modeling,0.6666362
457,data science and machine learning specialist insight-driven analyst expert in statistical modeling and data visualization,0.6663293
240,data engineer at chirality research inc. passionate about data analysis machine learning and pythonsql programming actively exploring new opportunities in data science and analytics,0.6659402
100,aspiring data analyst business intelligence sql python r power bi tableau data visualization predictive analytics turning data into insights driving business decisions ms in computer science,0.66542757
1278,aspiring data scientist,0.66509306
1175,aspiring data scientist,0.66509306
283,aspiring data scientist business analyst machine learning enthusiast accelerated 10m user growth with advanced analytics strategies,0.6644616
1140,web development data analyst data scientist,0.65951955
148,senior data analyst seeking new c2c c2h opportunities in data analytics data engineering sql development bi solutions expert in data modeling etl cloud technologies and sql,0.6585249
412,3rd year data science student at arizona state university. passionate about turning data into actionable insights.,0.6573014
92,turning data into actionable insights data analyst expert in sql python and power bi actively seeking job opportunities,0.65631074
